geneID	319_1_mouse_C57Bl6_Adip_iBA_1	319_2_mouse_C57Bl6_Adip_ScWA_2	319_3_mouse_C57Bl6_Adip_ScWA_3	319_4_mouse_C57Bl6_Adip_ScWA_4	319_5_mouse_C57Bl6_Adip_VisWA_1	319_6_mouse_C57Bl6_Adip_VisWA_2	319_7_mouse_C57Bl6_Adip_VisWA_3	319_8_mouse_C57Bl6_Adip_VisWA_4	319_9_mouse_C57Bl6_Adip_ScWA_1	319_11_mouse_C57Bl6_Adip_iBA_3	319_12_mouse_C57Bl6_Adip_iBA_4	319_13_mouse_SV129_Adip_ScWA_1	319_14_mouse_SV129_Adip_ScWA_2	319_15_mouse_SV129_Adip_ScWA_3	319_16_mouse_SV129_Adip_ScWA_4	319_17_mouse_SV129_Adip_VisWA_1	319_18_mouse_SV129_Adip_VisWA_2	319_19_mouse_SV129_Adip_VisWA_3	319_20_mouse_SV129_Adip_VisWA_4	319_21_mouse_SV129_Adip_iBA_1	319_22_mouse_SV129_Adip_iBA_2	319_23_mouse_SV129_Adip_iBA_3	319_24_mouse_SV129_Adip_iBA_4
ENSMUSG00000092286	0	0	0	0.057	0	0	0	0.030	0	0	0.033	0	0	0	0	0	0	0.030	0	0	0	0	0
ENSMUSG00000092289	0	0.057	0.139	0	0.092	0.391	0.119	0	0.151	0.045	0.144	0	0.184	0.126	0.042	0.182	0.103	0.235	0.118	0.132	0	0.121	0.131
ENSMUSG00000092294	0.031	0	0.052	0.034	0	0	0	0	0	0	0	0.035	0.071	0.110	0.071	0.040	0	0.059	0.085	0.042	0.031	0.136	0.076
ENSMUSG00000092300	0.131	0.170	0.037	0	0.114	0	0.036	0	0.078	0.134	0	0.086	0.116	0.128	0	0.201	0.103	0.118	0	0.154	0.140	0.130	0
ENSMUSG00000092301	0	0	0	0.098	0	0	0	0	0	0.116	0	0	0.126	0.111	0.206	0	0	0.173	0.101	0.059	0	0	0
ENSMUSG00000092305	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092309	0	0	0	0.099	0	0	0	0	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092315	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092323	0.080	0.243	0.399	0.611	0	0.120	0.104	0.166	0.049	0.842	0.127	0.125	0.127	0.107	0.083	0.094	0.267	0.100	0.114	0.040	0.139	0.119	0.041
ENSMUSG00000092325	7.104	3.716	4.789	4.153	3.595	3.690	4.507	4.809	4.277	4.936	4.596	3.755	4.122	3.721	3.397	4.630	4.593	4.334	4.228	2.342	1.864	3.464	2.455
ENSMUSG00000092335	0	0.584	0.742	0.759	0.468	0.472	0.282	0.524	0.274	0	0.038	0.603	0.469	0.562	0.454	0.343	0.300	0.705	0.515	0.256	0.084	0.167	0.305
ENSMUSG00000092339	0	0	0	0	0	0	0	0.040	0	0.068	0	0.170	0	0	0	0	0	0	0	0	0	0.096	0
ENSMUSG00000092341	31.472	120.729	106.070	116.001	17.450	105.243	33.480	67.867	78.101	94.883	37.099	100.324	165.817	182.180	95.350	90.997	117.034	83.498	93.638	69.832	56.668	147.687	64.283
ENSMUSG00000092344	2.078	1.856	1.038	1.385	1.222	0.779	1.307	1.190	1.667	2.450	2.837	1.499	1.610	1.720	1.651	1.062	1.314	1.464	0.893	1.311	1.020	0.913	1.362
ENSMUSG00000092345	0	0	0	0	0.226	0	0	0	0.033	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0
ENSMUSG00000092349	0.093	0.064	0.057	0	0	0	0	0	0	0.090	0	0.174	0.059	0	0	0.081	0.164	0	0	0	0	0.115	0
ENSMUSG00000092353	0	0	0.033	0.102	0	0	0	0.036	0	0	0.039	0	0.034	0.039	0	0.034	0.039	0	0	0	0.043	0.086	0.090
ENSMUSG00000092354	0.093	0.326	0	0.222	0.240	0.196	0.061	0.106	0	0.080	0.218	0.569	0.103	0.336	0.069	0.179	0.445	0.073	0.438	0.459	0.385	0.381	0.250
ENSMUSG00000092356	1.287	0.042	1.015	0.700	0.674	1.427	0	0.947	0.643	1.109	0.890	0	0.627	1.425	0.253	0.911	0.041	1.636	1.378	0	0	0.385	0.210
ENSMUSG00000092358	30.857	19.997	22.251	23.642	36.494	23.679	24.574	26.448	27.247	18.550	34.661	28.005	26.276	26.630	27.482	28.279	34.985	34.892	30.674	23.884	19.153	19.470	17.753
ENSMUSG00000092360	0.570	0	0.755	0	0.621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070
ENSMUSG00000092362	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155	0	0	0	0	0	0	0	0	0
ENSMUSG00000092364	0	0	0	0	0	0	0	0	0	0	0.115	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092366	0.650	0.938	0.996	0.848	1.204	0.485	0.806	0.359	0.529	0.405	0.196	1.357	0.344	0.386	0.539	0.340	0.612	0.725	0	0	0	0	0
ENSMUSG00000092367	0.404	0.102	1.043	0.466	0.442	0.488	0.858	0.355	0.788	1.087	2.076	1.273	2.368	0.627	0.614	0.162	2.836	1.260	1.171	0	0.138	0.927	1.108
ENSMUSG00000092368	0	0	0	0	0	0.456	0	0	0	0	0	0	2.268	0	0	0	0	1.027	0	0	0	0	0
ENSMUSG00000092370	0	0.186	0	0	0	0	0	0	0	0	0	0	0.141	0	0	0	0	0	0	0.136	0	0	0
ENSMUSG00000092371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	0	0	0	0	0	0	0.213	0.218
ENSMUSG00000092373	0.048	0	0	0	0.042	0	0.072	0	0.041	0.097	0.046	0.045	0.041	0.136	0	0.040	0.133	0.042	0.041	0.108	0	0.050	0
ENSMUSG00000092374	0	0.046	0	0.106	0	0.052	0	0	0	0	0	0	0	0.122	0	0.083	0.122	0.087	0	0	0	0	0
ENSMUSG00000092375	0	0	0	0	0.045	0.021	0	0	0.020	0	0	0.044	0.040	0	0.023	0	0	0	0	0.029	0.019	0	0
ENSMUSG00000092381	0.123	0.502	0.120	0	0	0.343	0.411	0	0	0	0	0.106	0.300	0.112	0.225	0.096	0	0.128	0.281	0.722	0.521	0.970	0.235
ENSMUSG00000092383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0	0	0	0	0	0
